"","id","days_to_event","date_out","out_event","date_in","in_event","breed","color","intake_age"
"2740","A715549",88,"02/01/2016 02:43:00 PM","Adoption","11/05/2015 07:06:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby",12
"2741","A758723",17,"10/07/2017 06:07:00 PM","Adoption","09/20/2017 04:17:00 PM","Stray","Domestic Shorthair Mix","Black",2
"2742","A682833",72,"09/13/2014 06:35:00 PM","Adoption","07/03/2014 04:06:00 PM","Stray","Siamese Mix","Lilac Point",3
"2743","A687385",2,"09/06/2014 09:00:00 AM","Transfer","09/04/2014 11:33:00 AM","Stray","Domestic Medium Hair Mix","Torbie",12
"2744","A731056",47,"08/31/2016 04:01:00 PM","Transfer","07/15/2016 11:15:00 AM","Stray","Domestic Shorthair Mix","Black",3
"2745","A750336",2,"05/27/2017 01:43:00 PM","Transfer","05/25/2017 06:13:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",0
"2746","A747899",4,"04/30/2017 12:00:00 AM","Transfer","04/26/2017 03:09:00 PM","Stray","Domestic Medium Hair Mix","Orange Tabby",12
"2747","A715546",9,"11/14/2015 02:05:00 PM","Transfer","11/05/2015 07:06:00 PM","Owner Surrender","Domestic Shorthair Mix","Calico",12
"2748","A714143",18,"11/05/2015 01:54:00 PM","Transfer","10/18/2015 03:04:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby/White",1
"2749","A687718",3,"09/12/2014 06:08:00 PM","Adoption","09/09/2014 12:39:00 PM","Owner Surrender","Domestic Shorthair Mix","Calico",4
"2750","A712237",27,"10/16/2015 05:39:00 PM","Adoption","09/19/2015 02:31:00 PM","Stray","Domestic Shorthair Mix","Black/White",1
"2751","A734127",1,"09/02/2016 05:07:00 PM","Transfer","09/01/2016 05:42:00 PM","Stray","Domestic Shorthair Mix","Calico",3
"2752","A707942",9,"07/29/2015 07:27:00 PM","Adoption","07/20/2015 02:46:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby",2
"2753","A706388",5,"07/03/2015 12:10:00 PM","Adoption","06/28/2015 01:15:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",1
"2754","A704829",16,"06/25/2015 08:17:00 AM","Died","06/09/2015 01:22:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",2
"2755","A719373",5,"01/23/2016 09:10:00 PM","Adoption","01/18/2016 03:32:00 PM","Stray","Domestic Shorthair Mix","Black",2
"2756","A759663",70,"12/14/2017 05:29:00 PM","Adoption","10/05/2017 01:21:00 PM","Stray","Domestic Medium Hair Mix","Brown Tabby",3
"2757","A732961",5,"08/20/2016 06:26:00 PM","Adoption","08/15/2016 03:08:00 PM","Stray","Domestic Shorthair Mix","Calico",2
"2758","A695225",2,"01/13/2015 10:40:00 AM","Euthanasia","01/11/2015 02:44:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",2
"2759","A684964",6,"08/06/2014 02:23:00 PM","Transfer","07/31/2014 12:25:00 AM","Stray","Domestic Shorthair","Blue",4
"2760","A710361",7,"08/29/2015 04:14:00 PM","Adoption","08/22/2015 11:27:00 AM","Owner Surrender","Domestic Shorthair Mix","Blue Tabby",4
"2761","A683600",2,"07/14/2014 05:38:00 PM","Adoption","07/12/2014 02:51:00 PM","Owner Surrender","Domestic Shorthair Mix","White",1
"2762","A691537",8,"11/14/2014 05:05:00 PM","Adoption","11/06/2014 07:47:00 AM","Stray","Domestic Shorthair Mix","Orange Tabby",2
"2763","A754673",33,"08/24/2017 05:34:00 PM","Adoption","07/22/2017 04:29:00 PM","Stray","Domestic Shorthair Mix","Blue/White",1
"2764","A763149",15,"12/19/2017 01:09:00 PM","Adoption","12/04/2017 10:58:00 AM","Owner Surrender","Siamese Mix","Flame Point",168
"2765","A542712",6,"12/02/2013 05:42:00 PM","Euthanasia","11/26/2013 07:08:00 PM","Stray","Domestic Shorthair Mix","Torbie",48
"2766","A669549",5,"12/27/2013 12:29:00 PM","Adoption","12/22/2013 04:28:00 PM","Owner Surrender","Domestic Shorthair Mix","Orange Tabby/White",24
"2767","A712542",11,"10/05/2015 06:24:00 PM","Adoption","09/24/2015 06:21:00 PM","Stray","Domestic Shorthair Mix","Calico",1
"2768","A715640",35,"12/12/2015 03:05:00 PM","Adoption","11/07/2015 12:27:00 PM","Stray","Domestic Shorthair Mix","Torbie",1
"2769","A703274",57,"07/18/2015 04:58:00 PM","Adoption","05/22/2015 01:44:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby/White",4
"2770","A750436",20,"06/16/2017 06:15:00 PM","Adoption","05/27/2017 11:06:00 AM","Stray","Domestic Shorthair Mix","Blue/White",1
"2771","A745112",33,"04/15/2017 12:46:00 PM","Adoption","03/13/2017 10:24:00 AM","Stray","Domestic Medium Hair Mix","Black",4
"2772","A683159",5,"07/12/2014 12:29:00 PM","Adoption","07/07/2014 06:52:00 PM","Stray","Domestic Longhair Mix","Black/White",2
"2773","A677086",99,"07/27/2014 05:27:00 PM","Adoption","04/19/2014 12:49:00 PM","Stray","Domestic Shorthair Mix","Torbie",84
"2774","A682280",2,"06/28/2014 09:00:00 AM","Transfer","06/26/2014 11:32:00 AM","Stray","Domestic Shorthair Mix","Tortie",24
"2775","A705283",1,"06/16/2015 09:00:00 AM","Transfer","06/15/2015 01:59:00 PM","Stray","Domestic Shorthair Mix","White",12
"2776","A680554",24,"06/28/2014 01:45:00 PM","Adoption","06/04/2014 11:09:00 AM","Stray","Domestic Shorthair","Brown Tabby/White",1
"2777","A724330",4,"04/19/2016 03:08:00 PM","Adoption","04/15/2016 05:46:00 PM","Owner Surrender","Domestic Longhair Mix","Black Tabby",36
"2778","A734824",34,"10/17/2016 06:27:00 PM","Transfer","09/13/2016 03:40:00 PM","Stray","Domestic Shorthair Mix","Blue",4
"2779","A683547",21,"08/01/2014 08:27:00 AM","Died","07/11/2014 05:39:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby/White",84
"2780","A757733",22,"09/27/2017 06:29:00 PM","Adoption","09/05/2017 07:17:00 PM","Owner Surrender","Domestic Shorthair Mix","Blue/White",1
"2781","A752659",3,"06/28/2017 06:13:00 PM","Transfer","06/25/2017 03:09:00 PM","Stray","Domestic Shorthair Mix","Calico",4
"2782","A688549",31,"10/21/2014 05:21:00 PM","Adoption","09/20/2014 03:51:00 PM","Stray","Domestic Shorthair Mix","Calico",4
"2783","A678578",16,"05/26/2014 02:46:00 PM","Adoption","05/10/2014 01:38:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",6
"2784","A758944",14,"10/08/2017 07:13:00 PM","Adoption","09/24/2017 12:19:00 PM","Owner Surrender","Domestic Shorthair Mix","Blue/White",84
"2785","A688003",2,"09/14/2014 09:34:00 AM","Euthanasia","09/12/2014 07:19:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",4
"2786","A723499",4,"04/06/2016 07:59:00 AM","Transfer","04/02/2016 11:23:00 AM","Stray","Domestic Shorthair Mix","Cream Tabby/White",12
"2787","A689562",52,"11/27/2014 10:30:00 AM","Adoption","10/06/2014 11:26:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby/White",1
"2788","A700567",23,"05/09/2015 02:38:00 PM","Transfer","04/16/2015 11:04:00 AM","Stray","Maine Coon Mix","Brown Tabby",84
"2789","A752187",4,"06/23/2017 05:11:00 PM","Adoption","06/19/2017 02:42:00 PM","Stray","Domestic Shorthair Mix","Calico",2
"2790","A695143",1,"01/10/2015 09:00:00 AM","Transfer","01/09/2015 05:04:00 PM","Stray","Domestic Shorthair Mix","Calico/White",60
"2791","A731379",31,"08/21/2016 12:31:00 PM","Adoption","07/21/2016 12:16:00 PM","Stray","Domestic Shorthair Mix","Tortie",36
"2792","A700693",36,"05/24/2015 05:23:00 PM","Adoption","04/18/2015 11:56:00 AM","Stray","Domestic Shorthair Mix","Blue Tabby",4
"2793","A683358",2,"07/11/2014 09:00:00 AM","Transfer","07/09/2014 03:09:00 PM","Stray","Domestic Shorthair Mix","Blue",4
"2794","A754439",9,"07/29/2017 01:10:00 PM","Transfer","07/20/2017 07:24:00 PM","Stray","Domestic Shorthair Mix","White",4
"2795","A706980",14,"07/20/2015 02:57:00 PM","Transfer","07/06/2015 12:45:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",1
"2796","A683668",46,"08/28/2014 11:46:00 AM","Adoption","07/13/2014 01:52:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby/White",3
"2797","A683519",2,"07/13/2014 04:23:00 PM","Euthanasia","07/11/2014 02:13:00 PM","Stray","Domestic Shorthair Mix","Calico",1
"2798","A667498",44,"01/02/2014 02:41:00 PM","Transfer","11/19/2013 07:40:00 AM","Stray","Domestic Shorthair Mix","Black",5
"2799","A723565",1,"04/04/2016 11:17:00 AM","Died","04/03/2016 12:52:00 PM","Stray","Domestic Shorthair Mix","Black",12
"2800","A740301",1,"12/15/2016 03:35:00 PM","Transfer","12/14/2016 03:53:00 PM","Stray","Domestic Shorthair Mix","Black/White",2
"2801","A705912",7,"06/29/2015 06:45:00 PM","Adoption","06/22/2015 03:48:00 PM","Stray","Domestic Shorthair Mix","Tortie",1
"2802","A693218",1,"12/05/2014 09:00:00 AM","Transfer","12/04/2014 11:20:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",2
"2803","A707684",37,"08/22/2015 06:35:00 PM","Adoption","07/16/2015 11:05:00 AM","Stray","Domestic Shorthair Mix","Black",1
"2804","A683733",11,"07/25/2014 04:48:00 PM","Transfer","07/14/2014 04:12:00 PM","Public Assist","Domestic Shorthair Mix","Black/White",3
"2805","A731568",79,"10/11/2016 06:39:00 PM","Adoption","07/24/2016 11:40:00 AM","Stray","Domestic Shorthair Mix","White/Black",2
"2806","A728478",26,"06/30/2016 07:06:00 AM","Adoption","06/04/2016 05:12:00 PM","Owner Surrender","Domestic Shorthair Mix","Orange Tabby/White",24
"2807","A746878",1,"04/11/2017 09:00:00 AM","Transfer","04/10/2017 02:21:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",12
"2808","A702353",4,"05/16/2015 09:07:00 AM","Died","05/12/2015 02:37:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby/White",1
"2809","A735281",62,"11/22/2016 03:34:00 PM","Adoption","09/21/2016 05:24:00 PM","Stray","Domestic Shorthair Mix","Black/White",4
"2810","A760381",1,"10/18/2017 04:00:00 PM","Transfer","10/17/2017 01:42:00 PM","Stray","Siamese Mix","Lynx Point/White",1
"2811","A769491",5,"04/10/2018 06:29:00 PM","Transfer","04/05/2018 03:10:00 PM","Stray","Domestic Shorthair Mix","Torbie",24
"2812","A739984",8,"12/18/2016 02:28:00 PM","Adoption","12/10/2016 09:16:00 AM","Stray","Domestic Shorthair Mix","Calico",12
"2813","A666163",6,"11/03/2013 05:43:00 PM","Adoption","10/28/2013 11:25:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",2
"2814","A658800",80,"05/31/2015 12:00:00 AM","Transfer","03/12/2015 03:19:00 PM","Owner Surrender","Domestic Medium Hair Mix","Blue/White",12
"2815","A737502",6,"11/05/2016 04:00:00 PM","Adoption","10/30/2016 11:17:00 AM","Stray","Domestic Shorthair Mix","Blue/White",2
"2816","A707978",80,"10/08/2015 01:53:00 PM","Transfer","07/20/2015 06:13:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",3
"2817","A684713",41,"09/06/2014 11:39:00 AM","Adoption","07/27/2014 01:29:00 PM","Stray","Domestic Shorthair Mix","Black/White",1
"2818","A710540",54,"10/17/2015 02:45:00 PM","Adoption","08/24/2015 01:25:00 PM","Stray","Domestic Shorthair Mix","Blue/White",1
"2819","A725159",74,"07/09/2016 04:57:00 PM","Adoption","04/26/2016 02:32:00 PM","Stray","Domestic Shorthair Mix","Black",3
"2820","A738291",24,"12/06/2016 04:02:00 PM","Adoption","11/12/2016 12:28:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",4
"2821","A722955",5,"03/29/2016 06:33:00 PM","Adoption","03/24/2016 12:55:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",4
"2822","A747714",2,"04/25/2017 03:34:00 PM","Transfer","04/23/2017 05:49:00 PM","Stray","Domestic Shorthair Mix","Black",4
"2823","A749848",6,"05/26/2017 04:52:00 PM","Adoption","05/20/2017 01:29:00 PM","Stray","Domestic Shorthair Mix","Cream Tabby",2
"2824","A765226",6,"01/21/2018 06:45:00 PM","Adoption","01/15/2018 02:47:00 PM","Stray","Domestic Shorthair Mix","Silver Tabby",48
"2825","A721137",5,"02/27/2016 07:09:00 PM","Transfer","02/22/2016 11:36:00 AM","Stray","Domestic Medium Hair Mix","Orange Tabby",24
"2826","A683649",4,"07/17/2014 05:47:00 PM","Euthanasia","07/13/2014 11:45:00 AM","Stray","Domestic Shorthair Mix","Orange Tabby/White",84
"2827","A759343",5,"10/05/2017 05:44:00 PM","Transfer","09/30/2017 04:58:00 PM","Stray","Domestic Shorthair Mix","Torbie",9
"2828","A758105",77,"11/26/2017 02:29:00 PM","Adoption","09/10/2017 04:21:00 PM","Stray","American Shorthair Mix","Brown Tabby/White",0
"2829","A593108",7,"10/06/2016 03:03:00 PM","Transfer","09/29/2016 01:51:00 PM","Stray","Domestic Shorthair Mix","Calico",168
"2830","A755806",8,"08/17/2017 10:30:00 AM","Transfer","08/09/2017 12:12:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",12
"2831","A750309",61,"07/25/2017 06:25:00 PM","Adoption","05/25/2017 02:15:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",4
"2832","A699713",1,"04/02/2015 09:00:00 AM","Transfer","04/01/2015 01:56:00 PM","Stray","Domestic Shorthair Mix","Cream Tabby",7
"2833","A734044",143,"01/21/2017 09:26:00 AM","Adoption","08/31/2016 03:10:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1
"2834","A740862",47,"02/09/2017 12:33:00 PM","Transfer","12/24/2016 11:56:00 AM","Stray","Siamese Mix","Flame Point",1
"2835","A736523",22,"11/03/2016 12:35:00 PM","Adoption","10/12/2016 11:08:00 AM","Owner Surrender","Domestic Shorthair Mix","Black",12
"2836","A724746",1,"04/22/2016 02:25:00 PM","Transfer","04/21/2016 01:07:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",96
"2837","A723994",12,"04/22/2016 04:02:00 PM","Adoption","04/10/2016 12:16:00 PM","Owner Surrender","Domestic Shorthair Mix","Cream Tabby/White",96
"2838","A714626",22,"11/17/2015 12:00:00 AM","Transfer","10/26/2015 11:07:00 AM","Stray","Domestic Shorthair Mix","Black/White",1
"2839","A733176",51,"10/08/2016 02:31:00 PM","Adoption","08/18/2016 01:06:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby/White",1
"2840","A706267",1,"06/27/2015 09:00:00 AM","Transfer","06/26/2015 04:34:00 PM","Stray","Domestic Shorthair Mix","Black",24
"2841","A687897",7,"09/18/2014 02:49:00 PM","Transfer","09/11/2014 04:41:00 PM","Stray","Domestic Shorthair Mix","Black",60
"2842","A693345",7,"12/13/2014 02:16:00 PM","Transfer","12/06/2014 10:01:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",8
"2843","A706381",103,"10/09/2015 03:26:00 PM","Transfer","06/28/2015 12:31:00 PM","Stray","Domestic Shorthair Mix","Torbie",1
"2844","A715809",4,"11/14/2015 07:10:00 PM","Transfer","11/10/2015 01:35:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",3
"2845","A700189",3,"04/12/2015 01:46:00 PM","Euthanasia","04/09/2015 01:25:00 PM","Public Assist","Domestic Shorthair Mix","Black/White",12
"2846","A749570",56,"07/11/2017 10:20:00 AM","Adoption","05/16/2017 02:35:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",4
"2847","A666450",64,"01/04/2014 03:46:00 PM","Adoption","11/01/2013 01:04:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1
"2848","A691674",12,"11/19/2014 03:06:00 PM","Transfer","11/07/2014 06:01:00 PM","Stray","Domestic Shorthair Mix","Black/White",24
"2849","A749696",44,"07/01/2017 04:28:00 PM","Adoption","05/18/2017 01:32:00 PM","Stray","Domestic Shorthair Mix","Black/White",3
"2850","A732555",156,"01/12/2017 12:00:00 AM","Transfer","08/09/2016 05:33:00 PM","Stray","Domestic Shorthair Mix","Black",2
"2851","A667077",19,"12/01/2013 12:38:00 PM","Adoption","11/12/2013 01:28:00 PM","Stray","Domestic Shorthair Mix","Blue",1
"2852","A736135",49,"11/23/2016 02:46:00 PM","Adoption","10/05/2016 09:56:00 AM","Stray","Manx Mix","Brown Tabby/White",1
"2853","A764501",13,"01/13/2018 01:49:00 PM","Adoption","12/31/2017 11:53:00 AM","Stray","Domestic Shorthair Mix","Black",12
"2854","A714573",47,"12/11/2015 06:25:00 PM","Adoption","10/25/2015 02:10:00 PM","Stray","Domestic Medium Hair Mix","Brown Tabby/White",3
"2855","A739965",15,"12/24/2016 12:25:00 PM","Adoption","12/09/2016 04:08:00 PM","Stray","Siamese Mix","Lynx Point",12
"2856","A741992",13,"01/17/2017 01:16:00 PM","Transfer","01/04/2017 11:05:00 AM","Owner Surrender","Domestic Medium Hair Mix","Tortie",12
"2857","A755448",10,"08/13/2017 02:23:00 PM","Adoption","08/03/2017 03:01:00 PM","Stray","Domestic Shorthair Mix","Black/White",1
"2858","A667009",16,"11/27/2013 01:19:00 PM","Adoption","11/11/2013 11:11:00 AM","Owner Surrender","Domestic Shorthair Mix","Blue",1
"2859","A656318",6,"03/01/2015 12:12:00 PM","Adoption","02/23/2015 12:33:00 PM","Stray","Domestic Shorthair Mix","Black",12
"2860","A730191",2,"07/02/2016 12:32:00 PM","Adoption","06/30/2016 11:01:00 AM","Owner Surrender","Domestic Medium Hair Mix","Calico",1
"2861","A725564",44,"06/13/2016 05:08:00 PM","Adoption","04/30/2016 02:49:00 PM","Stray","Siamese Mix","White",4
"2862","A749081",1,"05/11/2017 03:51:00 PM","Transfer","05/10/2017 04:35:00 PM","Stray","Domestic Shorthair Mix","Cream Tabby",1
"2863","A681236",4,"06/18/2014 05:17:00 PM","Adoption","06/14/2014 10:52:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",2
"2864","A720703",139,"07/02/2016 09:34:00 AM","Adoption","02/14/2016 12:42:00 PM","Stray","Domestic Shorthair Mix","White/Black",12
"2865","A752564",19,"07/13/2017 11:55:00 AM","Adoption","06/24/2017 08:21:00 AM","Stray","Domestic Shorthair Mix","Orange Tabby/White",1
"2866","A746697",1,"04/08/2017 09:00:00 AM","Transfer","04/07/2017 01:25:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",12
"2867","A735750",5,"10/03/2016 06:20:00 PM","Adoption","09/28/2016 03:33:00 PM","Stray","Domestic Medium Hair Mix","Brown Tabby",2
"2868","A755970",14,"08/26/2017 05:09:00 PM","Adoption","08/12/2017 11:45:00 AM","Owner Surrender","Domestic Shorthair Mix","White/Orange",24
"2869","A752282",11,"07/01/2017 05:50:00 PM","Adoption","06/20/2017 01:09:00 PM","Stray","Siamese Mix","Lynx Point",1
"2870","A749851",4,"05/24/2017 06:07:00 PM","Adoption","05/20/2017 01:41:00 PM","Stray","Domestic Shorthair Mix","Black",1
"2871","A713444",1,"10/08/2015 01:56:00 PM","Transfer","10/07/2015 07:22:00 AM","Stray","Domestic Shorthair Mix","Black",4
"2872","A753737",70,"09/18/2017 05:02:00 PM","Adoption","07/10/2017 01:29:00 PM","Stray","Domestic Shorthair Mix","Black/White",3
"2873","A767390",5,"03/05/2018 07:37:00 PM","Transfer","02/28/2018 11:43:00 AM","Stray","Domestic Medium Hair Mix","Brown Tabby/White",10
"2874","A726234",145,"09/30/2016 12:12:00 PM","Adoption","05/08/2016 02:18:00 PM","Stray","Domestic Shorthair Mix","Cream Tabby/White",4
"2875","A690569",29,"11/20/2014 12:35:00 PM","Transfer","10/22/2014 03:36:00 PM","Stray","Domestic Medium Hair Mix","Brown Tabby/White",1
"2876","A714768",5,"11/01/2015 02:24:00 PM","Transfer","10/27/2015 03:57:00 PM","Stray","Domestic Shorthair Mix","Black/White",1
"2877","A686394",25,"09/15/2014 12:31:00 PM","Transfer","08/21/2014 12:17:00 PM","Stray","Manx Mix","Black",36
"2878","A700220",69,"06/17/2015 06:49:00 PM","Adoption","04/09/2015 02:34:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",0
"2879","A749796",12,"05/31/2017 04:17:00 PM","Transfer","05/19/2017 03:02:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",3
"2880","A679752",48,"07/12/2014 08:26:00 PM","Adoption","05/25/2014 03:40:00 PM","Stray","Domestic Medium Hair Mix","White/Brown Tabby",4
"2881","A706348",4,"07/01/2015 04:46:00 PM","Adoption","06/27/2015 04:27:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",3
"2882","A713890",16,"10/30/2015 03:33:00 PM","Adoption","10/14/2015 03:57:00 PM","Stray","Domestic Shorthair Mix","Black/White",1
"2883","A713863",15,"10/29/2015 11:59:00 AM","Transfer","10/14/2015 01:15:00 PM","Stray","Domestic Shorthair Mix","Calico",7
"2884","A768946",25,"04/21/2018 03:19:00 PM","Adoption","03/27/2018 04:55:00 PM","Stray","Ragdoll Mix","Seal Point",12
"2885","A702449",1,"05/14/2015 11:57:00 AM","Transfer","05/13/2015 06:53:00 PM","Stray","Domestic Shorthair Mix","White/Brown Tabby",1
"2886","A747313",1,"04/19/2017 10:48:00 AM","Transfer","04/18/2017 10:48:00 AM","Owner Surrender","Domestic Shorthair Mix","Black/White",1
"2887","A685576",1,"08/10/2014 09:00:00 AM","Transfer","08/09/2014 01:50:00 PM","Stray","Domestic Shorthair Mix","Cream Tabby",4
"2888","A718156",7,"12/29/2015 07:56:00 PM","Transfer","12/22/2015 06:15:00 PM","Stray","Domestic Longhair Mix","Blue",24
"2889","A745908",37,"04/30/2017 05:48:00 PM","Adoption","03/24/2017 08:46:00 AM","Stray","Domestic Medium Hair Mix","Black",24
"2890","A690215",11,"10/27/2014 09:00:00 AM","Transfer","10/16/2014 07:45:00 PM","Stray","Siamese Mix","Blue Point",24
"2891","A747522",5,"04/25/2017 12:00:00 AM","Transfer","04/20/2017 05:30:00 PM","Stray","Domestic Shorthair Mix","Cream Tabby",12
"2892","A750153",15,"06/07/2017 02:57:00 PM","Adoption","05/23/2017 03:49:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby/White",36
"2893","A745967",53,"05/19/2017 01:42:00 PM","Adoption","03/27/2017 11:36:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",2
"2894","A688415",5,"09/24/2014 03:32:00 PM","Transfer","09/19/2014 11:22:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby/White",2
"2895","A674095",1,"03/08/2014 07:05:00 PM","Transfer","03/07/2014 11:44:00 AM","Stray","Domestic Shorthair Mix","Calico",12
"2896","A733969",1,"08/31/2016 09:00:00 AM","Transfer","08/30/2016 11:51:00 AM","Stray","Domestic Shorthair Mix","Black",24
"2897","A730004",3,"06/30/2016 06:48:00 PM","Adoption","06/27/2016 11:03:00 AM","Stray","Domestic Shorthair Mix","Tortie",1
"2898","A519025",4,"04/05/2014 02:16:00 PM","Adoption","04/01/2014 11:56:00 AM","Owner Surrender","Domestic Shorthair Mix","Blue Tabby",72
"2899","A765878",4,"02/02/2018 12:00:00 AM","Transfer","01/29/2018 11:27:00 AM","Stray","Domestic Shorthair Mix","Orange Tabby/White",36
"2900","A704407",44,"07/18/2015 05:24:00 PM","Adoption","06/04/2015 01:28:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1
"2901","A686669",1,"08/26/2014 05:09:00 PM","Adoption","08/25/2014 11:12:00 AM","Owner Surrender","Domestic Medium Hair","Black Tabby/White",2
"2902","A728008",24,"06/22/2016 06:13:00 PM","Euthanasia","05/29/2016 03:57:00 PM","Stray","Domestic Shorthair Mix","Torbie",1
"2903","A686548",1,"08/24/2014 04:44:00 PM","Transfer","08/23/2014 01:32:00 PM","Stray","Domestic Longhair Mix","Orange Tabby",48
"2904","A735811",1,"09/30/2016 09:00:00 AM","Transfer","09/29/2016 04:39:00 PM","Stray","Domestic Shorthair Mix","Black/White",12
"2905","A692843",8,"12/04/2014 12:21:00 PM","Transfer","11/26/2014 01:07:00 PM","Owner Surrender","Domestic Shorthair Mix","Brown Tabby/White",24
"2906","A705890",7,"06/29/2015 05:54:00 PM","Adoption","06/22/2015 12:56:00 PM","Owner Surrender","Domestic Shorthair Mix","Calico",1
"2907","A716635",28,"12/20/2015 06:22:00 PM","Adoption","11/22/2015 01:06:00 PM","Stray","Domestic Shorthair Mix","Tortie",1
"2908","A715118",2,"11/02/2015 02:02:00 PM","Transfer","10/31/2015 03:16:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",4
"2909","A752437",18,"07/10/2017 04:03:00 PM","Transfer","06/22/2017 12:04:00 PM","Stray","Domestic Shorthair Mix","Black/White",1
"2910","A685005",1,"08/01/2014 03:09:00 PM","Transfer","07/31/2014 06:13:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",2
"2911","A697734",4,"03/03/2015 05:16:00 PM","Adoption","02/27/2015 01:06:00 PM","Stray","Domestic Medium Hair Mix","Calico",2
"2912","A703182",52,"07/12/2015 01:26:00 PM","Adoption","05/21/2015 01:12:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",1
"2913","A701834",1,"05/06/2015 09:00:00 AM","Transfer","05/05/2015 11:09:00 AM","Stray","Domestic Shorthair Mix","Black",12
"2914","A768207",5,"03/19/2018 05:56:00 PM","Transfer","03/14/2018 06:27:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",24
"2915","A691609",6,"02/28/2015 03:25:00 PM","Transfer","02/22/2015 09:45:00 PM","Stray","Domestic Shorthair Mix","Tortie",9
"2916","A759250",8,"10/07/2017 02:08:00 PM","Adoption","09/29/2017 02:00:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",12
"2917","A761152",10,"11/09/2017 02:45:00 PM","Transfer","10/30/2017 12:44:00 PM","Stray","American Shorthair Mix","Blue Tabby/White",1
"2918","A771083",4,"05/04/2018 08:03:00 AM","Died","04/30/2018 12:17:00 PM","Stray","Domestic Shorthair Mix","Black",3
"2919","A724206",76,"06/28/2016 12:22:00 PM","Adoption","04/13/2016 05:50:00 PM","Stray","Domestic Shorthair Mix","Black/White",1
"2920","A688623",6,"09/27/2014 10:23:00 AM","Adoption","09/21/2014 02:42:00 PM","Stray","Domestic Shorthair Mix","White/Brown Tabby",2
"2921","A705059",12,"06/24/2015 04:03:00 PM","Adoption","06/12/2015 03:02:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1
"2922","A755214",11,"08/11/2017 05:57:00 PM","Transfer","07/31/2017 12:20:00 PM","Stray","Domestic Shorthair Mix","Orange Tabby",1
"2923","A736647",37,"11/20/2016 05:13:00 PM","Adoption","10/14/2016 02:16:00 PM","Stray","Domestic Shorthair Mix","Black",3
"2924","A693592",1,"12/12/2014 09:00:00 AM","Transfer","12/11/2014 11:48:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby/White",5
"2925","A723803",250,"12/13/2016 03:44:00 PM","Adoption","04/07/2016 09:14:00 AM","Owner Surrender","Russian Blue Mix","Blue",36
"2926","A749921",69,"07/29/2017 03:38:00 PM","Adoption","05/21/2017 01:06:00 PM","Stray","Domestic Shorthair Mix","Tortie",4
"2927","A682462",7,"07/05/2014 01:56:00 PM","Adoption","06/28/2014 11:11:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",2
"2928","A719733",19,"02/14/2016 04:25:00 PM","Adoption","01/26/2016 03:08:00 PM","Stray","Domestic Shorthair Mix","White",24
